name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region
Chan Sow Lin,AG11,Rapid KL,3.128025,101.715546,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Miharja,AG12,Rapid KL,3.120931,101.717861,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Maluri,AG13,Rapid KL,3.123276,101.726946,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Pandan Jaya,AG14,Rapid KL,3.130258,101.738991,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Pandan Indah,AG15,Rapid KL,3.134827,101.746748,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Cempaka,AG16,Rapid KL,3.138458,101.752945,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Cahaya,AG17,Rapid KL,3.140643,101.756607,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Ampang,AG18,Rapid KL,3.150512,101.760127,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Sentul,AG2,Rapid KL,3.178591,101.69551,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Titiwangsa,AG3,Rapid KL,3.173591,101.695273,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
PWTC,AG4,Rapid KL,3.166563,101.693594,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Sultan Ismail,AG5,Rapid KL,3.161185,101.694127,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Bandaraya,AG6,Rapid KL,3.155548,101.694406,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Masjid Jamek,AG7,Rapid KL,3.149462,101.696396,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Plaza Rakyat,AG8,Rapid KL,3.144264,101.702054,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Hang Tuah,AG9,Rapid KL,3.139843,101.706133,AG,Ampang Line,3,Orange,#fe8e10,Klang Valley
Sentul Timur,SP1,Rapid KL,3.185821,101.695335,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Pudu,SP10,Rapid KL,3.13492,101.712011,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Chan Sow Lin,SP11,Rapid KL,3.128025,101.715546,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Cheras,SP12,Rapid KL,3.112747,101.714213,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Salak Selatan,SP13,Rapid KL,3.102009,101.706273,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Bandar Tun Razak,SP14,Rapid KL,3.089626,101.712414,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Bandar Tasik Selatan,SP15,Rapid KL,3.076067,101.711311,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Sungai Besi,SP16,Rapid KL,3.063949,101.707987,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Bukit Jalil,SP17,Rapid KL,3.058148,101.692216,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Sri Petaling,SP18,Rapid KL,3.061533,101.687067,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Awan Besar,SP19,Rapid KL,3.062094,101.670606,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Sentul,SP2,Rapid KL,3.178591,101.69551,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Muhibbah,SP20,Rapid KL,3.061934,101.662791,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Alam Sutera,SP21,Rapid KL,3.054838,101.656693,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Kinrara,SP22,Rapid KL,3.050456,101.644155,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Ioi Puchong Jaya,SP24,Rapid KL,3.048131,101.620982,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Pusat Bandar Puchong,SP25,Rapid KL,3.033284,101.61612,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
Taman Perindustrian Puchong (TPP),SP26,Rapid KL,3.022811,101.613433,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley
