station_id,name,station_code,service_provider_name,latitude,longitude,route_id,route_name,line_number,line_colour,colour_hex_code,region,odonym,namesake,opened
99,Titiwangsa,SP3,Rapid KL,3.173591,101.695273,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
100,Putra Heights,SP31,Rapid KL,2.995969,101.575544,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
101,PWTC,SP4,Rapid KL,3.166563,101.693594,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
102,Sultan Ismail,SP5,Rapid KL,3.161185,101.694127,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
103,Bandaraya,SP6,Rapid KL,3.155548,101.694406,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
104,Masjid Jamek,SP7,Rapid KL,3.149462,101.696396,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
105,Plaza Rakyat,SP8,Rapid KL,3.144264,101.702054,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
106,Hang Tuah,SP9,Rapid KL,3.139843,101.706133,SP,Sri Petaling Line,4,Maroon,#721422,Klang Valley,,,
107,Gombak,KJ1,Rapid KL,3.231206,101.724429,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
108,KLCC,KJ10,Rapid KL,3.158935,101.713287,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
109,Kampung Baru,KJ11,Rapid KL,3.161386,101.706608,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
110,Dang Wangi,KJ12,Rapid KL,3.156942,101.701975,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
111,Masjid Jamek,KJ13,Rapid KL,3.149714,101.696815,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
112,Pasar Seni,KJ14,Rapid KL,3.142439,101.69531,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
113,KL Sentral,KJ15,Rapid KL,3.134067,101.686535,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
114,Bangsar,KJ16,Rapid KL,3.127588,101.679062,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
115,Abdullah Hukum,KJ17,Rapid KL,3.118735,101.672897,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
116,Kerinchi,KJ18,Rapid KL,3.115506,101.668572,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
117,Universiti,KJ19,Rapid KL,3.114616,101.661639,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
118,Taman Melati,KJ2,Rapid KL,3.219558,101.72197,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
119,Taman Jaya,KJ20,Rapid KL,3.104086,101.645248,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
120,Asia Jaya,KJ21,Rapid KL,3.104343,101.637695,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
121,Taman Paramount,KJ22,Rapid KL,3.104716,101.623192,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
122,Taman Bahagia,KJ23,Rapid KL,3.11079,101.612856,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
123,Kelana Jaya,KJ24,Rapid KL,3.112497,101.6043,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
124,Lembah Subang,KJ25,Rapid KL,3.112094,101.591034,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
125,Ara Damansara,KJ26,Rapid KL,3.108452,101.586644,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
126,Glenmarie,KJ27,Rapid KL,3.095902,101.590474,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
127,Subang Jaya,KJ28,Rapid KL,3.084862,101.58724,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
128,SS15,KJ29,Rapid KL,3.075895,101.586027,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
129,Wangsa Maju,KJ3,Rapid KL,3.205751,101.731796,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
130,SS18,KJ30,Rapid KL,3.066939,101.586167,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
131,USJ7,KJ31,Rapid KL,3.055025,101.591907,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
132,Taipan,KJ32,Rapid KL,3.047826,101.590201,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
133,Wawasan,KJ33,Rapid KL,3.034969,101.588194,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
134,USJ21,KJ34,Rapid KL,3.029735,101.581854,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
135,Alam Megah,KJ35,Rapid KL,3.023151,101.572029,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
136,Subang Alam,KJ36,Rapid KL,3.01007,101.57208,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
137,Putra Heights,KJ37,Rapid KL,2.996227,101.575462,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
138,Sri Rampai,KJ4,Rapid KL,3.199176,101.73747,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
139,Setiawangsa,KJ5,Rapid KL,3.17576,101.73584,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
140,Jelatek,KJ6,Rapid KL,3.167204,101.735344,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
141,Dato' Keramat,KJ7,Rapid KL,3.16509,101.73184,KJ,Kelana Jaya Line,5,Ruby,#e0115f,Klang Valley,,,
