Relationship ID,Entrance ID,Station Name,Station Code
60,5488029391,Bandar Utama,KG09
61,5042521364,Maluri (KG),KG22
62,5042521355,Maluri (KG),KG22
63,5042521365,Maluri (KG),KG22
64,7104299331,Maluri (KG),KG22
65,5042521354,Maluri (KG),KG22
66,11032999053,Salak Selatan,SP13
67,11032999050,Salak Selatan,SP13
68,6575190638,Sungai Besi (LRT),SP16
69,9646411432,Sungai Besi (LRT),SP16
70,10941247782,Cempaka,AG16
71,5737775567,Cempaka,AG16
72,7629425122,Cahaya,AG17
73,10804709653,Universiti,KJ19
74,10804709680,Universiti,KJ19
75,5261535570,Mutiara Damansara,KG08
76,5261535560,Mutiara Damansara,KG08
77,5261535561,Mutiara Damansara,KG08
78,5261535576,Mutiara Damansara,KG08
79,5484616510,Surian,KG07
80,5484616509,Surian,KG07
81,9358657242,Surian,KG07
82,11033916949,Surian,KG07
83,5484616646,Kota Damansara,KG06
84,5484616643,Kota Damansara,KG06
85,5261439396,Kwasa Sentral,KG05
86,5261535537,Kwasa Sentral,KG05
87,9853266686,Kwasa Damansara (KG),KG04
88,4533242217,Kampung Selamat,PY03
89,5261535531,Kampung Selamat,PY03
90,5261535528,Kampung Selamat,PY03
91,9849423415,Sungai Buloh (PY),PY04
92,9849457821,Sungai Buloh (PY),PY04
93,4952299496,Taman Pertama,KG23
94,5469085650,Taman Pertama,KG23
95,5469085631,Stadium Kajang,KG34
96,5469085630,Stadium Kajang,KG34
97,5469085632,Stadium Kajang,KG34
98,5040821684,Bukit Bintang (KG),KG18A
99,5040821689,Bukit Bintang (KG),KG18A
100,5040821685,Bukit Bintang (KG),KG18A
101,5040821686,Bukit Bintang (KG),KG18A
102,5040821688,Bukit Bintang (KG),KG18A
103,11459346125,Muhibbah,SP20
104,11459346120,Muhibbah,SP20
105,4092013971,Taman Perindustrian Puchong,SP26
106,9924537172,Taman Perindustrian Puchong,SP26
107,11377990464,Puchong Perdana,SP28
